key,n,m,mmsp_lb,mmsp_time,mmsp_lp,lp_pc,lp_pc_time,bigm_lp,bigm_lp_time,best_lb,simple_lb
N_m2_makespan_N7e,197,2,90.9090909090909,0.0059900283813476,90.90909090909092,90.90909090909088,4.291998624801636,,,90.9090909090909,
N_m3_makespan_N1a,17,3,66.66666666666667,0.0049996376037597,66.66666666666667,66.66666666666666,0.415910005569458,44.00000000000001,0.0647382736206054,66.66666666666667,
N_m3_makespan_N1b,17,3,66.66666666666669,0.0059766769409179,66.66666666666667,66.6666666666667,0.3886880874633789,45.66666666666667,0.0630099773406982,66.6666666666667,
N_m3_makespan_N1c,17,3,66.66666666666667,0.0029959678649902,66.66666666666666,66.6666666666667,0.4960362911224365,39.0,0.0560212135314941,66.6666666666667,
N_m3_makespan_N1d,17,3,66.66666666666666,0.0020005702972412,66.66666666666667,66.6666666666667,0.4362852573394775,45.66666666666667,0.0655105113983154,66.6666666666667,
N_m3_makespan_N1e,17,3,66.66666666666669,0.0049772262573242,66.66666666666666,66.66666666666676,0.4851620197296142,28.66666666666667,0.0645437240600586,66.66666666666676,
N_m3_makespan_N2a,25,3,66.66666666666667,0.0049953460693359,66.66666666666667,66.66666666666667,0.8541722297668457,45.66666666666667,0.1350851058959961,66.66666666666667,
N_m3_makespan_N2b,25,3,66.66666666666666,0.0029976367950439,66.66666666666667,66.66666666666667,0.7890224456787109,37.33333333333334,0.1255245208740234,66.66666666666667,
N_m3_makespan_N2c,25,3,66.66666666666666,0.0069880485534667,66.66666666666666,66.66666666666666,0.7979254722595215,37.33333333333334,0.1245183944702148,66.66666666666666,
N_m3_makespan_N2d,25,3,66.66666666666669,0.0039911270141601,66.66666666666666,66.66666666666667,0.8347673416137695,33.66666666666667,0.1355292797088623,66.66666666666669,
N_m3_makespan_N2e,25,3,66.66666666666667,0.0050008296966552,66.66666666666666,66.66666666666661,0.808769702911377,32.00000000000001,0.1495037078857422,66.66666666666667,
N_m3_makespan_N3a,29,3,66.66666666666667,0.0071997642517089,66.66666666666666,66.66666666666669,0.8886597156524658,34.66666666666667,0.1237273216247558,66.66666666666669,
N_m3_makespan_N3b,29,3,66.66666666666667,0.0053009986877441,66.66666666666667,66.6666666666667,0.9278788566589355,35.666666666666664,0.1624402999877929,66.6666666666667,
N_m3_makespan_N3c,29,3,66.66666666666666,0.0020003318786621,66.66666666666667,66.66666666666676,1.1760897636413574,36.00000000000001,0.1526916027069091,66.66666666666676,
N_m3_makespan_N3d,29,3,66.66666666666666,0.0044982433319091,66.66666666666667,66.66666666666663,0.7988133430480957,44.00000000000001,0.1445364952087402,66.66666666666666,
N_m3_makespan_N3e,29,3,66.66666666666667,0.0049958229064941,66.66666666666666,66.6666666666667,0.9713261127471924,39.66666666666667,0.1462702751159668,66.6666666666667,
N_m3_makespan_N4a,49,3,66.66666666666669,0.0072565078735351,66.66666666666667,66.66666666666674,1.8235955238342283,28.66666666666667,0.4379544258117676,66.66666666666674,
N_m3_makespan_N4b,49,3,66.66666666666667,0.0050084590911865,66.66666666666666,66.66666666666666,1.6970531940460205,38.333333333333336,0.5184528827667236,66.66666666666667,
N_m3_makespan_N4c,49,3,66.66666666666667,0.0030059814453125,66.66666666666666,66.66666666666667,1.918220043182373,34.00000000000001,0.5418286323547363,66.66666666666667,
N_m3_makespan_N4d,49,3,66.66666666666666,0.005000352859497,66.66666666666667,66.66666666666664,1.7680799961090088,35.0,0.450695276260376,66.66666666666666,
N_m3_makespan_N4e,49,3,66.66666666666666,0.0049917697906494,66.66666666666667,66.66666666666659,1.7234666347503662,36.00000000000001,0.4918646812438965,66.66666666666666,
N_m3_makespan_N5a,73,3,66.66666666666666,0.0050084590911865,66.66666666666667,66.66666666666677,2.8620800971984863,31.33333333333334,0.9687328338623048,66.66666666666677,
N_m3_makespan_N5b,73,3,66.66666666666667,0.0030009746551513,66.66666666666667,66.66666666666679,2.6587331295013428,30.333333333333336,0.8439600467681885,66.66666666666679,
N_m3_makespan_N5c,73,3,66.66666666666667,0.0049962997436523,66.66666666666667,66.66666666666676,2.789518356323242,32.00000000000001,0.8740320205688477,66.66666666666676,
N_m3_makespan_N5d,73,3,66.66666666666667,0.003042459487915,66.66666666666667,66.66666666666663,2.5494368076324463,27.000000000000004,0.9731860160827636,66.66666666666667,
N_m3_makespan_N5e,73,3,66.66666666666666,0.0020070075988769,66.66666666666667,66.66666666666666,2.523300170898437,33.66666666666667,1.0169439315795898,66.66666666666666,
N_m3_makespan_N6a,97,3,66.66666666666667,0.0039963722229003,66.66666666666667,66.66666666666666,2.6571121215820312,26.666666666666668,1.6088800430297852,66.66666666666667,
N_m3_makespan_N6b,97,3,66.66666666666667,0.0039882659912109,66.66666666666667,66.66666666666669,3.187857389450073,38.66666666666667,1.7745187282562256,66.66666666666669,
N_m3_makespan_N6c,97,3,66.66666666666667,0.0048913955688476,66.66666666666666,66.66666666666664,3.3226218223571777,28.66666666666667,1.626633882522583,66.66666666666667,
N_m3_makespan_N6d,97,3,66.66666666666667,0.0049989223480224,66.66666666666667,66.66666666666663,3.042154312133789,32.666666666666664,1.7402687072753906,66.66666666666667,
N_m3_makespan_N6e,97,3,66.66666666666667,0.0038309097290039,66.66666666666667,66.66666666666669,3.1417267322540283,35.333333333333336,1.5847249031066897,66.66666666666669,
N_m3_makespan_N7a,197,3,66.66666666666669,0.0079467296600341,66.66666666666664,66.66666666666674,5.248870611190796,,,66.66666666666674,
N_m3_makespan_N7b,197,3,66.66666666666667,0.0110177993774414,66.66666666666666,66.66666666666667,6.127194404602051,,,66.66666666666667,
N_m3_makespan_N7c,197,3,66.66666666666666,0.0149967670440673,66.66666666666666,66.66666666666671,6.107694387435913,,,66.66666666666671,
N_m3_makespan_N7d,197,3,66.66666666666667,0.0099961757659912,66.66666666666664,66.66666666666664,5.316062450408936,,,66.66666666666667,
N_m3_makespan_N7e,197,3,66.66666666666667,0.0120072364807128,66.66666666666667,66.66666666666667,6.396806716918945,,,66.66666666666667,
T1_150_2,150,2,620.2620967741932,0.0059971809387207,620.2620967741935,620.2660922572652,2.656055688858032,,,620.2660922572652,
T1_150_3,150,3,461.6932873091151,0.0090069770812988,461.69328730911496,461.71108682595735,3.5311756134033203,,,461.71108682595735,
T1_250_4,250,4,625.60331134292,0.019000768661499,625.60331134292,625.6099170432053,8.527589797973633,,,625.6099170432053,
T1_400_4,400,4,987.0184275751702,0.0267682075500488,987.0184275751704,987.029658691058,14.608632564544678,,,987.029658691058,
T2_150_2,150,2,1654.444214484778,0.0060071945190429,1654.4442144847778,1686.829061222722,1.4087162017822266,,,1686.829061222722,
T2_150_3,150,3,836.3048776971037,0.0069961547851562,836.3048776971033,844.1760808100304,1.7500789165496826,,,844.1760808100304,
T2_250_4,250,4,824.4400097486678,0.0140068531036376,824.4400097486678,825.1929402800137,4.936955451965332,,,825.1929402800137,
T2_400_4,400,4,1233.349920480915,0.0200088024139404,1233.349920480915,1233.349920480914,8.081300735473633,,,1233.349920480915,
ZDF_zdf1_2,290,2,26.84,0.0109965801239013,26.83454545454545,26.83719540229885,2.2683539390563965,,,26.84,
ZDF_zdf2_2,330,2,28.92,0.0119960308074951,28.91368421052632,28.99792213100794,2.85078239440918,,,28.99792213100794,
ZDF_zdf3_2,370,2,34.22,0.0139920711517333,34.216521739130414,34.23826253593101,3.276289939880371,,,34.23826253593101,
ZDF_zdf1_4,145,4,4.12,0.0130085945129394,4.11051282051282,6.5027416038382455,1.507460117340088,,,6.5027416038382455,
CL01_020_01_m2_makespan,20,2,29.466666666666665,0.0050008296966552,29.454545454545453,29.454545454545453,0.0040225982666015,5.0,0.0331668853759765,29.466666666666665,29.454545454545453
CL01_020_01_m3_makespan,20,3,21.600000000000005,0.0040054321289062,21.6,21.6,0.0045058727264404,3.5,0.0430285930633544,21.600000000000005,21.6
CL01_020_02_m2_makespan,20,2,19.683333333333334,0.003650426864624,19.68181818181818,19.68181818181818,0.0029518604278564,5.0,0.0451626777648925,19.683333333333334,19.681818181818183
CL01_020_02_m3_makespan,20,3,14.433333333333334,0.0030043125152587,14.433333333333334,14.433333333333335,0.0045037269592285,4.0,0.0395233631134033,14.433333333333335,14.433333333333334
CL01_060_01_m2_makespan,60,2,91.23333333333332,0.0020008087158203,91.22727272727272,91.36363636363636,0.0105063915252685,5.0,0.3155875205993652,91.36363636363636,91.22727272727272
CL01_060_01_m3_makespan,60,3,66.9,0.0056045055389404,66.89999999999999,67.0,0.0130198001861572,5.0,0.3905127048492431,67.0,66.9
CL01_060_02_m2_makespan,60,2,80.28333333333333,0.0030009746551513,80.27272727272725,80.27272727272727,0.0115461349487304,5.0,0.3196449279785156,80.28333333333333,80.27272727272727
CL01_060_02_m3_makespan,60,3,58.86666666666667,0.0035061836242675,58.86666666666667,58.86666666666666,0.0134978294372558,5.0,0.4127867221832275,58.86666666666667,58.86666666666667
CL01_100_01_m2_makespan,100,2,124.25,0.0023005008697509,124.22727272727272,124.22727272727272,0.0311477184295654,5.0,0.8345863819122314,124.25,124.22727272727272
CL01_100_01_m3_makespan,100,3,91.1,0.0060625076293945,91.1,91.1,0.025524616241455,5.0,1.1653568744659424,91.1,91.1
CL01_100_02_m2_makespan,100,2,138.2,0.0019991397857666,138.1818181818182,138.1818181818182,0.030527114868164,5.0,0.8350493907928467,138.2,138.1818181818182
CL01_100_02_m3_makespan,100,3,101.33333333333331,0.0070035457611083,101.33333333333331,101.33333333333334,0.0231153964996337,5.0,1.1333494186401367,101.33333333333334,101.33333333333331
CL02_020_01_m2_makespan,20,2,9.822222222222225,0.0020010471343994,9.818181818181818,9.818181818181817,0.01601243019104,5.0,0.0315275192260742,10.0,10.0
CL02_020_01_m3_makespan,20,3,7.200000000000001,0.003000259399414,7.2,7.199999999999999,0.03700852394104,3.333333333333333,0.0509216785430908,10.0,10.0
CL02_020_02_m2_makespan,20,2,6.561111111111112,0.0020098686218261,6.56060606060606,6.560606060606061,0.0135049819946289,5.0,0.0322859287261962,10.0,10.0
CL02_020_02_m3_makespan,20,3,4.811111111111111,0.0029997825622558,4.811111111111112,4.81111111111111,0.0180056095123291,3.333333333333333,0.0463323593139648,10.0,10.0
CL02_060_01_m2_makespan,60,2,30.41111111111111,0.0009999275207519,30.409090909090907,30.40909090909092,0.0460462570190429,5.0,0.3110039234161377,30.41111111111111,30.40909090909091
CL02_060_01_m3_makespan,60,3,22.3,0.0029993057250976,22.3,22.300000000000004,0.0712463855743408,3.333333333333333,0.4501540660858154,22.300000000000004,22.3
CL02_060_02_m2_makespan,60,2,26.76111111111112,0.002507209777832,26.75757575757576,26.75757575757575,0.0579349994659423,5.0,0.2949175834655761,26.76111111111112,26.75757575757576
CL02_060_02_m3_makespan,60,3,19.62222222222222,0.0040035247802734,19.622222222222224,19.62222222222222,0.0706074237823486,3.333333333333333,0.4563746452331543,19.622222222222224,19.622222222222224
CL02_100_01_m2_makespan,100,2,41.40909090909093,0.0020012855529785,41.40909090909091,41.40909090909092,0.0986678600311279,5.0,0.8289682865142822,41.40909090909093,41.40909090909091
CL02_100_01_m3_makespan,100,3,30.366666666666656,0.0051867961883544,30.366666666666664,30.366666666666667,0.1347625255584716,3.333333333333333,1.2570536136627195,30.366666666666667,30.366666666666667
CL02_100_02_m2_makespan,100,2,46.06060606060604,0.0020067691802978,46.06060606060607,46.06060606060606,0.0858218669891357,5.0,0.8378424644470215,46.06060606060606,46.06060606060606
CL02_100_02_m3_makespan,100,3,33.777777777777764,0.0049943923950195,33.77777777777777,33.77777777777778,0.1160683631896972,3.333333333333333,1.2559185028076172,33.77777777777778,33.77777777777778
CL03_020_01_m2_makespan,20,2,78.08333333333333,0.0023057460784912,78.07954545454545,81.88888888888889,0.0240213871002197,16.5,0.0296084880828857,81.88888888888889,78.07954545454545
CL03_020_01_m3_makespan,20,3,57.25833333333333,0.0033466815948486,57.25833333333333,61.41666666666666,0.0170080661773681,12.0,0.0407142639160156,61.41666666666666,57.25833333333333
CL03_020_02_m2_makespan,20,2,47.375,0.0020027160644531,47.375,47.37499999999999,0.0200202465057373,16.0,0.0320937633514404,47.375,47.375
CL03_020_02_m3_makespan,20,3,34.74166666666667,0.0040030479431152,34.74166666666667,34.74166666666667,0.0248234272003173,10.666666666666668,0.0435307025909423,34.74166666666667,34.74166666666667
CL03_060_01_m2_makespan,60,2,245.07954545454547,0.0022459030151367,245.07954545454547,249.75,0.0744955539703369,17.0,0.2844560146331787,249.75,245.07954545454547
CL03_060_01_m3_makespan,60,3,179.72499999999997,0.0030004978179931,179.72499999999997,181.04166666666663,0.0935590267181396,17.0,0.42059326171875,181.04166666666663,179.725
CL03_060_02_m2_makespan,60,2,207.0454545454545,0.0030033588409423,207.04545454545456,207.04545454545453,0.0875256061553955,17.5,0.2843899726867676,207.04545454545453,207.04545454545453
CL03_060_02_m3_makespan,60,3,151.83333333333331,0.0022447109222412,151.83333333333334,151.83333333333348,0.1116104125976562,17.0,0.4392867088317871,151.83333333333348,151.83333333333334
CL03_100_01_m2_makespan,100,2,326.4,0.0039665699005126,326.3977272727273,326.3977272727272,0.1545901298522949,17.5,0.8896543979644775,326.4,326.39772727272725
CL03_100_01_m3_makespan,100,3,239.35833333333343,0.004000186920166,239.3583333333333,239.3583333333333,0.1828017234802246,16.5,1.2366211414337158,239.35833333333343,239.3583333333333
CL03_100_02_m2_makespan,100,2,377.7272727272726,0.0030121803283691,377.7272727272727,377.7272727272728,0.1453621387481689,17.5,0.9099817276000975,377.7272727272728,377.7272727272728
CL03_100_02_m3_makespan,100,3,276.99999999999994,0.0031118392944335,277.0,277.30952380952374,0.1785929203033447,17.5,1.2143876552581787,277.30952380952374,277.0
CL04_020_01_m2_makespan,20,2,31.23333333333333,0.0040011405944824,31.23181818181818,31.231818181818166,0.0995745658874511,16.5,0.0290236473083496,33.0,33.0
CL04_020_01_m3_makespan,20,3,22.90333333333333,0.0030040740966796,22.90333333333333,22.903333333333336,0.1115229129791259,11.000000000000002,0.041046142578125,33.0,33.0
CL04_020_02_m2_makespan,20,2,18.950000000000003,0.0019998550415039,18.95,18.949999999999992,0.0737454891204834,16.0,0.0311100482940673,32.0,32.0
CL04_020_02_m3_makespan,20,3,13.896666666666668,0.0020031929016113,13.896666666666665,13.89666666666667,0.1150329113006591,10.666666666666668,0.0420353412628173,32.0,32.0
CL04_060_01_m2_makespan,60,2,98.03333333333336,0.0029997825622558,98.03181818181818,98.0318181818182,0.3400921821594238,17.0,0.2848875522613525,98.03333333333336,98.03181818181818
CL04_060_01_m3_makespan,60,3,71.89,0.0065057277679443,71.88999999999999,71.88999999999999,0.4378087520599365,11.333333333333334,0.4540343284606933,71.89,71.89
CL04_060_02_m2_makespan,60,2,82.82000000000001,0.0020058155059814,82.81818181818181,82.8181818181818,0.3195550441741943,17.5,0.268409252166748,82.82000000000001,82.81818181818181
